T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__ruminococcus_torques,,g__shikimate_kinase,,s__ruminococcus_torques,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__ruminococcus_torques,,g__dnadirected_rna_polymerase,,s__bacteroides_ovatus,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__histidine_kinase,,s__roseburia_intestinalis,0.2,,0.2,1,FALSE,FALSE,TRUE,FALSE
s__eubacterium_ventriosum,,g__shikimate_kinase,,s__eubacterium_ventriosum,0.2,,0.2,1,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__histidine_kinase,,s__ruminococcus_torques,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__histidine_kinase,,s__ruminococcus_torques,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__glucose1phosphate_adenylyltransferase,,s__eubacterium_rectale,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__clostridium_clostridioforme,,g__3methyl2oxobutanoate_hydroxymethyltransferase,,s__clostridium_clostridioforme,0.2,,0.2,1,FALSE,FALSE,TRUE,FALSE
s__clostridium_bolteae,,g__phosphatidate_cytidylyltransferase,,s__bacteroides_caccae,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bifidobacterium_longum,,g__glucose1phosphate_adenylyltransferase,,s__haemophilus_parainfluenzae,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bifidobacterium_longum,,g__glucose1phosphate_adenylyltransferase,,s__haemophilus_parainfluenzae,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bifidobacterium_longum,,g__glucose1phosphate_adenylyltransferase,,s__bifidobacterium_longum,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bacteroides_uniformis,,g__pyruvate_carboxylase,,s__bacteroides_uniformis,0.2,,0.2,0.4,FALSE,FALSE,TRUE,FALSE
s__bacteroides_stercoris,,g__uridine_kinase,,s__bacteroides_stercoris,0.2,,0.2,0.8,FALSE,FALSE,TRUE,FALSE
s__bacteroides_fragilis,,g__glucose1phosphate_adenylyltransferase,,s__roseburia_intestinalis,0.2,,0.2,0.4,FALSE,FALSE,TRUE,FALSE
s__bacteroides_fragilis,,g__glucose1phosphate_adenylyltransferase,,s__eubacterium_rectale,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bacteroides_finegoldii,,g__dna_helicase,,s__akkermansia_muciniphila,0.6,,0.4,0.2,FALSE,FALSE,TRUE,FALSE
s__bacteroides_faecis,,g__glucose1phosphate_adenylyltransferase,,s__alistipes_shahii,0.4,,0.2,0.4,FALSE,FALSE,TRUE,FALSE
s__bacteroides_caccae,,g__shikimate_kinase,,s__ruminococcus_torques,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bacteroides_caccae,,g__shikimate_kinase,,s__ruminococcus_torques,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bacteroides_caccae,,g__shikimate_kinase,,s__ruminococcus_torques,0.2,,0.2,0.4,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,,m__hmdb00239,s__roseburia_intestinalis,,0.2,0.2,1,FALSE,FALSE,FALSE,TRUE
s__eubacterium_rectale,,,m__hmdb00020,s__eubacterium_rectale,,0.2,0.2,0.2,FALSE,FALSE,FALSE,TRUE
s__clostridium_clostridioforme,,,m__hmdb00289,s__bacteroides_stercoris,,0.2,0.2,0.6,FALSE,FALSE,FALSE,TRUE
s__bifidobacterium_longum,,,m__hmdb01149,s__haemophilus_parainfluenzae,,0.6,0.4,0.2,FALSE,FALSE,FALSE,TRUE
s__bifidobacterium_longum,,,m__hmdb01149,s__haemophilus_parainfluenzae,,0.6,0.4,0.2,FALSE,FALSE,FALSE,TRUE
s__bacteroides_xylanisolvens,,,m__hmdb00619,s__bacteroides_ovatus,,0.2,0.2,0.2,FALSE,FALSE,FALSE,TRUE
s__bacteroides_xylanisolvens,,,m__hmdb00619,s__bacteroides_finegoldii,,0.2,0.2,0.2,FALSE,FALSE,FALSE,TRUE
s__bacteroides_uniformis,,,m__hmdb00289,s__bacteroides_uniformis,,1,0.4,0.4,FALSE,FALSE,FALSE,TRUE
s__bacteroides_stercoris,,,m__hmdb00289,s__bacteroides_stercoris,,0.2,0.2,0.8,FALSE,FALSE,FALSE,TRUE
s__bacteroides_ovatus,,,m__hmdb00764,s__ruminococcus_torques,,0.2,0.2,0.2,FALSE,FALSE,FALSE,TRUE
s__bacteroides_ovatus,,,m__hmdb00764,s__bacteroides_ovatus,,0.2,0.2,0.6,FALSE,FALSE,FALSE,TRUE
s__bacteroides_finegoldii,,,m__hmdb00619,s__bacteroides_finegoldii,,0.2,0.2,0.8,FALSE,FALSE,FALSE,TRUE
s__bacteroides_faecis,,,m__hmdb00097,s__bacteroides_faecis,,0.2,0.2,0.2,FALSE,FALSE,FALSE,TRUE
s__streptococcus_parasanguinis,s__streptococcus_parasanguinis,,_m,s__streptococcus_parasanguinis,1,,1,0.6,TRUE,FALSE,FALSE,FALSE
s__roseburia_intestinalis,s__roseburia_intestinalis,,_m,s__roseburia_intestinalis,1,,1,1,TRUE,FALSE,FALSE,FALSE
s__bacteroides_xylanisolvens,s__ruminococcus_lactaris,,_m,s__odoribacter_splanchnicus,1,,1,0.2,TRUE,FALSE,FALSE,FALSE
s__bacteroides_xylanisolvens,s__ruminococcus_lactaris,,_m,s__odoribacter_splanchnicus,1,,1,0.2,TRUE,FALSE,FALSE,FALSE
s__bacteroides_fragilis,s__bacteroides_fragilis,,_m,s__roseburia_inulinivorans,1,,1,0.4,TRUE,FALSE,FALSE,FALSE
s__bacteroides_caccae,s__bacteroides_caccae,,_m,s__bacteroides_caccae,1,,1,1,TRUE,FALSE,FALSE,FALSE
