T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__streptococcus_parasanguinis,,g__fructosebisphosphate_aldolase,,s__streptococcus_parasanguinis,0.2,,0.2,0.8,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__dephosphocoa_kinase,,s__akkermansia_muciniphila,0.2,,0.4,0.2,FALSE,FALSE,TRUE,FALSE
s__clostridium_bolteae,,g__5formyltetrahydrofolate_cycloligase,,s__clostridium_bolteae,0.2,,0.2,0.8,FALSE,FALSE,TRUE,FALSE
s__clostridium_bolteae,,g__5formyltetrahydrofolate_cycloligase,,s__bacteroides_caccae,0.2,,0.2,0.4,FALSE,FALSE,TRUE,FALSE
s__bifidobacterium_longum,,g__glucose1phosphate_adenylyltransferase,,s__bifidobacterium_longum,0.2,,0.4,0.6,FALSE,FALSE,TRUE,FALSE
s__bacteroides_thetaiotaomicron,,g__glucose1phosphate_adenylyltransferase,,s__ruminococcus_torques,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bacteroides_thetaiotaomicron,,g__glucose1phosphate_adenylyltransferase,,s__ruminococcus_torques,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bacteroides_stercoris,,g__5formyltetrahydrofolate_cycloligase,,s__clostridium_bolteae,0.2,,0.2,0.2,FALSE,FALSE,TRUE,FALSE
s__bacteroides_caccae,,g__5formyltetrahydrofolate_cycloligase,,s__bacteroides_caccae,0.2,,0.2,0.6,FALSE,FALSE,TRUE,FALSE
s__eubacterium_siraeum,,,m__hmdb00209,s__eubacterium_siraeum,,0.25,0.25,0.2,FALSE,FALSE,FALSE,TRUE
s__streptococcus_parasanguinis,s__streptococcus_parasanguinis,,_m,s__streptococcus_parasanguinis,0.3333,,0.3333,0.8,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__eubacterium_siraeum,,_m,s__eubacterium_siraeum,0.3333,,0.3333,0.2,TRUE,FALSE,FALSE,FALSE
s__eubacterium_rectale,s__sutterella_wadsworthensis,,_m,s__roseburia_inulinivorans,0.3333,,0.3333,0.2,TRUE,FALSE,FALSE,FALSE
s__eubacterium_rectale,s__sutterella_wadsworthensis,,_m,s__roseburia_inulinivorans,0.3333,,0.3333,0.2,TRUE,FALSE,FALSE,FALSE
s__clostridium_bolteae,s__bacteroides_caccae,,_m,s__clostridium_bolteae,0.3333,,0.3333,0.8,TRUE,FALSE,FALSE,FALSE
s__clostridium_bolteae,s__bacteroides_caccae,,_m,s__bacteroides_caccae,0.3333,,0.3333,0.4,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__barnesiella_intestinihominis,,_m,s__ruminococcus_torques,0.3333,,0.3333,0.2,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__barnesiella_intestinihominis,,_m,s__ruminococcus_torques,0.3333,,0.3333,0.2,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__bacteroides_thetaiotaomicron,,_m,s__bacteroides_thetaiotaomicron,0.6667,,0.6667,0.2,TRUE,FALSE,FALSE,FALSE
s__bacteroides_stercoris,s__ruminococcus_lactaris,,_m,s__bacteroides_stercoris,0.3333,,0.3333,0.4,TRUE,FALSE,FALSE,FALSE
s__bacteroides_ovatus,s__parabacteroides_unclassified,,_m,s__bacteroides_ovatus,0.3333,,0.3333,0.8,TRUE,FALSE,FALSE,FALSE
s__bacteroides_fragilis,s__streptococcus_thermophilus,,_m,s__roseburia_inulinivorans,0.3333,,0.3333,0.4,TRUE,FALSE,FALSE,FALSE
s__bacteroides_caccae,s__clostridium_bolteae,,_m,s__bacteroides_caccae,0.3333,,0.3333,0.6,TRUE,FALSE,FALSE,FALSE
